bom_line,sku,cost_per_bom_unit,basis,pack_size,listed_price,supplier,supplier_cnpj,supplier_uf,product_ref,url,verified_at,is_inference,spec_risk,notes
mochila,MOCHILA,52.27,unit,1,52.27,CONFECCOES EMILIO LTDA,50191584000106,SP,MOCHILA BABY PRINTS #802 ESPERA FELIZ,https://www.emilio.com.br,2026-09-19,FALSE,NONE,Cheapest genuine mochila in catalogue. 45 mochila SKUs; median R$75.28. Handoff 9.3 target was R$25.00 - missed by 2.1x. Handoff 9.2 claim that Emilio does not stock this is WRONG.
banheira_lisa,BANHEIRA,18.90,unit,1,18.90,CONFECCOES EMILIO LTDA,50191584000106,SP,BANHEIRA ADOLETA 20 LITROS #0362 CAJOVIL,https://www.emilio.com.br/banheira-adoleta---20-litros---0362---cajovil/p,2026-09-19,FALSE,CAPACITY_BAND,"CORRECTED: I first banked R$29.71 (Monte Libano 24L) by reading an UNSORTED list. The cheapest conforming 20-25L tub in the same set is R$18.90. Cross-checked on the same manufacturer ref 362 at three SP sellers: Yanai R$17.89, Brascol R$18.05, Emilio R$18.90 - a 5.6% spread, so this is a market price not an outlier. COST IS BAND-SENSITIVE: ""min 20L"" = R$18.90; "">=22L"" = R$23.65; ""exactly 24L"" = R$29.71. Re-price once the real edital wording is known. Freight, not unit cost, is the exposure: seller-stated shipping weight is 513g against ~0.047 m3 of box, so this line WILL be cubed."
cobertor_infantil,COBERTOR,12.15,unit,1,12.15,CONFECCOES EMILIO LTDA,50191584000106,SP,COBERTOR BABY ESTAMPADO 80X110CM #1.12600 CAMESA,https://www.emilio.com.br,2026-09-19,FALSE,NONE,Confirms handoff R$12.18 within 0.2%. The only handoff price that survived re-measurement unchanged.
cueiro,CUEIRO,3.94,per_piece,3,11.81,CONFECCOES EMILIO LTDA,50191584000106,SP,CUEIRO ESTAMPADO CARICIA 50X80 3 UNIDADES #1714 MINASREY,https://www.emilio.com.br,2026-09-19,FALSE,NONE,Sold as a 3-pack; BOM consumes one. 307 conforming SKUs after excluding pano-de-boca contamination in the CUEIROS category.
pagao,PAGAO,15.34,unit_set,1,15.34,CONFECCOES EMILIO LTDA,50191584000106,SP,CONJUNTO PAGAO 3 PECAS #01.0158 RADANI,https://www.emilio.com.br,2026-09-19,FALSE,NONE,A pagao IS conventionally a 3-piece set - not divided. Handoff said R$19.60; measured 22% cheaper.
fralda_descartavel_rn,FRALDA_DESC,,unit,1,,,,,,,2026-09-19,,BLOCKING,UNPRICED. CONFIRMED ABSENT 2026-09-19: zero rows at emilio.com.br on BOTH the category sweep and a free-text search.
body_manga_longa,BODY,7.56,per_piece,3,22.68,CONFECCOES EMILIO LTDA,50191584000106,SP,KIT BODY MANGA LONGA 3 UNIDADES TAMANHO PREMATURO #302084 MAFESSONI,https://www.emilio.com.br,2026-09-19,FALSE,SIZE_GRADED,"Handoff said R$15.32; measured 51% cheaper. WARNING: many 3-packs are labelled TAMANHO RN AO G which may be size-graduated (one RN + one P + one M), not three RN. If the edital demands a single size this price does not hold. MUST VERIFY before banking."
kit_enxoval,KIT_ENXOVAL,,unit,1,,,,,,,2026-09-19,,BLOCKING,UNPRICED AND UNSPECIFIED. A kit inside a kit. Only 7 Emilio rows match 'enxoval' and none is a coherent enxoval kit. Cannot price until the real Itaquaquecetuba item text is read.
pano_de_boca,PANO_BOCA,1.85,per_piece,3,5.55,CONFECCOES EMILIO LTDA,50191584000106,SP,PANO DE BOCA PINTE & BORDE 3 UNIDADES #580190 INCOMFRAL,https://www.emilio.com.br,2026-09-19,FALSE,NONE,Handoff said R$8.47 for the same Pinte & Borde product family; measured 78% cheaper per piece. Cheapest in catalogue is R$1.47/pc (5-pack plush).
par_de_meias,MEIAS,2.01,per_pair,4,8.05,CONFECCOES EMILIO LTDA,50191584000106,SP,MEIA BEBE PIPOQUINHA 4 PARES #001 LUQUI,https://www.emilio.com.br,2026-09-19,FALSE,NONE,Restricted to SKUs stating PARES explicitly so the pair/sock ambiguity cannot bite. 609 such SKUs.
